```csv
customer_id,full_name,email,country,registered_at
142,Milica Löffler-Conradi,ehlertharri@example.org,Polen,1639353600
427,Jost Haase,otlustek@example.com,Poland,1743292800
61,Yvette Seidel,benboucsein@example.net,Holland,2025-06-27
148,Dipl.-Ing. Benita auch Schlauchin MBA.,fischerreginald@example.net,Belgium,December 22 2025
230,Gino Lindau,renateroht@example.org,deutschland,January 01 2025
496,Walburga Kobelt,wwulff@example.net,BE,1630972800
456,Prof. Ina Dowerg,bernhard84@example.net,Belgien,May 19 2024
489,Margarethe Liebelt-Grein Groth,helfriedconradi@example.net,France,05.11.2023
299,Edelgard Röhrdanz,dmosemann@example.net,Schweiz,1726012800
259,Guenther Junken,bdussen-van@example.net,FRA,2021-07-28
85,Alexa Gehringer B.A.,kuehnertewa@example.net,Großbritannien,2022-05-06
293,Prof. Nils Oestrovsky,yaumann@example.net,OEsterreich,1728691200
138,Renata Zänker,ewa75@example.com,Polen,November 18 2023
493,Bernfried Harloff,gunter53@example.org,Poland,23.07.2025
37,Willy Hethur,rosa49@example.net,Poland,1608508800
202,Hannah Lindau-Stoll,danielleschenk@example.org,Großbritannien,20.09.2025
379,Gino Krause,giorgiobender@example.com,France,1635811200
5,Jose Hartung,joderwald@example.org,AUT,December 10 2022
52,Timm Haering-Faust,zahnmaik@example.net,PL,1758240000
432,Herr Adam Bolzmann,gnatzkarl-heinrich@example.org,Spanien,01.12.2023
303,Augustin Ullmann,dietzastrid@example.com,England,02.03.2021
305,Wilhelm Schäfer MBA.,skrebs@example.com,Holland,June 23 2021
66,Ronny Hermighausen,hethurjenny@example.org,NL,2021-03-08
146,Franjo Stolze,hans-joerg70@example.org,AUT,03.10.2025
206,Leonid Köhler,nhermighausen@example.org,Italy,2020-06-10
505,Uta  Lange,gka.bus@example.org,Poland,25.05.2021
510,norma schmiedecke-hofmann,ELFRIEDE16@example.org,Netherlands,1742256000
271,Cengiz Fritsch-Budig,hubert55@example.org,Österreich,11.05.2022
346,Univ.Prof. Nikolas Mangold,lhuebel@example.net,ITA,1626825600
256,Adelbert Beer,meik09@example.org,Schweiz,02.10.2024
33,Frank-Peter Werner B.Eng.,patrik55@example.org,PL,1655942400
310,Yasmin Etzler,helmuthzimmer@example.org,United Kingdom,2023-11-11
59,Jo Seip,ostriebitz@example.net,BE,2021-12-02
11,Frau Franca Tlustek MBA.,gunterpaffrath@example.org,AT,2020-02-08
130,Roderich Nerger B.Sc.,rupert30@example.net,United Kingdom,10.07.2024
68,Bianka Scholtz MBA.,ernst-augustlosekann@example.net,SUI,2024-07-17
130,Roderich Nerger B.Sc.,rupert30@example.net,United Kingdom,10.07.2024
442,Janko Segebahn-Budig,zhess@example.com,deutschland,1586822400
273,Annedore Stolze,wolf-dieterreinhardt@example.org,Switzerland,May 25 2020
367,Ante Hornich-Kraushaar,gschweitzer@example.org,AUT,2025-02-01
295,Univ.Prof. Mariusz Spieß B.Eng.,margrafkatja@example.com,deutschland,August 29 2021
448,Ing. Sebastiano Schleich,ypeukert@example.net,IT,1757203200
232,Oswald Hethur,ygunpf@example.org,FRA,2023-01-27
397,Herr Mattias Kusch,alexandre21@example.org,Italien,2024-12-29
369,Karl-Jürgen Trüb-Renner,theresia08@example.net,France,October 28 2020
136,Heinfried Wähner,kochsiegmar@example.com,FR,2022-05-24
300,Christa-Maria Pölitz,daria34@example.net,Schweiz,1619308800
396,Corina Reising,hermann-josefcichorius@example.org,UK,01.02.2024
212,Domenico Römer-Bachmann,cweller@example.com,Austria,1635292800
280,Frau Erica Haering,klaerefaust@example.org,PL,1633737600
392,Jonathan Bauer B.Sc.,friedrich-wilhelm35@example.com,Germany,1588723200
406,Wolf-Dietrich Otto,ernst-otto44@example.org,France,1729555200
204,Gitte Weiß-Gieß,konstantinostroest@example.org,UNKNOWN,16.12.2022
484,Ing. Astrid Huhn,muellerhanno@example.com,England,2024-09-01
188,Hinrich Kruschwitz,astatextor@example.com,Schweiz,17.01.2020
213,Rotraut Vollbrecht-Renner,sevim31@example.org,Italy,October 07 2025
97,Herr Emmerich Kuhl,agathemende@example.com,Frankreich,June 07 2021
513,herlinde stadelmann-gerlach,bertha51@example.com,Netherlands,2025-08-24
78,Viktor Misicher MBA.,hubertine27@example.net,Holland,1757376000
289,Pamela Söding,sruppert@example.net,Belgium,06.03.2022
362,Hubertus Jockel,leokadia43@example.org,Österreich,12.11.2025
170,Lorenz Jäntsch,istoll@example.org,Austria,August 18 2020
145,Angelina Siering,waehnerbirgitt@example.net,AUT,1690416000
122,Victor Sager,eimerbenedikt@example.net,Netherlands,1709942400
469,Univ.Prof. Tülay Gehringer,phande@example.com,UNKNOWN,September 28 2024
150,Richard Werner B.Eng.,adobes@example.net,Italy,August 04 2025
198,Gerlind Fechner,jens45@example.com,FR,1652745600
359,Dipl.-Ing. Gislinde Klapp,hans-joergzobel@example.org,Netherlands,2021-12-13
520,BERNFRIED HARLOFF,GUNTER53@example.org,Poland,23.07.2025
512,GOTTHILF SCHOMBER,heinz-ottohornig@example.net,FR,08.09.2020
