```csv
order_id,customer_id,product_id,quantity,unit_price_eur,ordered_at,total_eur,order_year,order_month
1,110,32,4,237.94,2024-03-20,951.76,2024,3
2,302,57,3,332.58,2024-09-18,997.74,2024,9
3,440,55,3,19.4,2024-11-01,58.2,2024,11
4,42,62,5,117.57,2024-06-23,587.85,2024,6
5,398,79,2,478.88,2024-01-29,957.76,2024,1
6,486,72,2,261.0,2024-08-28,522.0,2024,8
7,34,12,1,419.41,2024-01-05,419.41,2024,1
8,100,24,4,293.44,2024-05-22,1173.76,2024,5
9,278,52,5,12.68,2024-12-31,63.4,2024,12
10,499,35,3,303.49,2024-12-23,910.47,2024,12
11,445,72,1,261.0,2024-07-15,261.0,2024,7
12,238,91,2,127.8,2024-07-21,255.6,2024,7
13,69,10,5,323.37,2024-06-09,1616.85,2024,6
14,362,4,4,394.82,2024-11-18,1579.28,2024,11
15,149,82,3,118.8,2024-01-29,356.4,2024,1
16,443,99,1,340.0,2024-12-02,340.0,2024,12
17,225,89,3,172.26,2024-11-13,516.78,2024,11
18,391,75,5,440.14,2024-01-06,2200.7,2024,1
19,356,41,1,133.52,2024-07-19,133.52,2024,7
20,229,75,1,440.14,2024-12-15,440.14,2024,12
21,377,55,1,19.4,2024-07-26,19.4,2024,7
22,6,73,5,113.34,2024-01-09,566.7,2024,1
23,391,77,3,197.86,2024-07-28,593.58,2024,7
24,377,23,1,354.09,2024-07-26,354.09,2024,7
25,265,19,5,471.99,2024-05-26,2359.95,2024,5
26,86,53,5,305.19,2024-11-26,1525.95,2024,11
27,299,61,5,222.91,2024-05-30,1114.55,2024,5
28,18,33,4,428.83,2024-12-13,1715.32,2024,12
29,211,70,2,381.08,2024-10-30,762.16,2024,10
30,233,42,4,408.18,2024-03-28,1632.72,2024,3
31,461,74,2,365.44,2024-10-11,730.88,2024,10
32,41,65,5,457.31,2024-11-24,2286.55,2024,11
33,202,76,3,22.04,2024-11-11,66.12,2024,11
34,374,51,1,231.79,2024-09-07,231.79,2024,9
35,82,81,3,262.83,2024-05-28,788.49,2024,5
36,64,50,3,231.9,2024-05-20,695.7,2024,5
37,427,2,1,498.06,2024-03-02,498.06,2024,3
38,239,60,2,344.59,2024-03-18,689.18,2024,3
39,116,31,1,156.82,2024-01-22,156.82,2024,1
40,373,14,1,35.02,2024-02-19,35.02,2024,2
41,59,75,1,440.14,2024-12-02,440.14,2024,12
42,76,33,3,428.83,2024-07-31,1286.49,2024,7
43,432,15,4,321.07,2024-01-26,1284.28,2024,1
44,421,79,2,478.88,2024-11-15,957.76,2024,11
45,294,21,4,386.29,2024-10-01,1545.16,2024,10
46,425,22,5,145.63,2024-06-29,728.15,2024,6
47,406,51,5,231.79,2024-09-19,1158.95,2024,9
48,167,86,5,471.18,2024-03-28,2355.9,2024,3
49,414,10,1,323.37,2024-11-18,323.37,2024,11
50,153,2,1,498.06,2024-10-21,498.06,2024,10
51,1,58,1,435.54,2024-02-14,435.54,2024,2
52,281,95,3,403.57,2024-05-23,1210.71,2024,5
53,485,76,3,22.04,2024-11-14,66.12,2024,11
54,61,59,2,320.04,2024-07-15,640.08,2024,7
55,341,40,2,486.29,2024-11-24,972.58,2024,11
56,454,66,1,134.18,2024-09-13,134.18,2024,9
57,229,47,1,258.2,2024-12-29,258.2,2024,12
58,80,56,3,25.98,2024-12-10,77.94,2024,12
59,130,15,2,321.07,2024-07-10,642.14,2024,7
60,73,43,5,41.64,2024-11-13,208.2,2024,11
61,4,29,2,307.34,2024-11-10,614.68,2024,11
62,184,91,2,127.8,2024-09-04,255.6,2024,9
63,176,53,4,305.19,2024-12-08,1220.76,2024,12
64,58,80,3,466.63,2024-08-13,1399.89,2024,8
65,152,7,5,314.29,2024-09-27,1571.45,2024,9
66,107,41,2,133.52,2024-04-11,267.04,2024,4
67,193,95,3,403.57,2024-05-03,1210.71,2024,5
68,252,33,5,428.83,2024-01-01,2144.15,2024,1
69,392,18,4,282.8,2024-08-06,1131.2,2024,8
70,410,12,3,419.41,2024-09-21,1258.23,2024,9
71,56,13,4,472.95,2024-04-22,1891.8,2024,4
72,59,52,4,12.68,2024-03-13,50.72,2024,3
73,488,67,2,143.46,2024-12-07,286.92,2024,12
74,140,21,3,386.29,2024-04-20,1158.87,2024,4
75,178,91,3,127.8,2024-06-16,383.4,2024,6
76,16,73,2,113.34,2024-03-17,226.68,2024,3
77,462,33,5,428.83,2024-09-03,2144.15,2024,9
78,176,69,1,268.97,2024-01-09,268.97,2024,1
79,103,23,3,354.09,2024-12-23,1062.27,2024,12
80,38,83,4,31.04,2024-04-27,124.16,2024,4
81,353,89,3,172.26,2024-07-07,516.78,2024,7
82,55,97,1,450.7,2024-04-07,450.7,2024,4
83,294,51,3,231.79,2024-06-22,695.37,2024,6
84,176,88,5,205.37,2024-07-29,1026.85,2024,7
85,484,89,4,172.26,2024-05-11,689.04,2024,5
86,142,97,3,450.7,2024-11-10,1352.1,2024,11
87,476,79,4,478.88,2024-02-08,1915.52,2024,2
88,242,29,3,307.34,2024-11-09,922.02,2024,11
89,368,99,1,340.0,2024-05-24,340.0,2024,5
90,272,14,1,35.02,2024-10-31,35.02,2024,10
91,387,22,2,145.63,2024-11-14,291.26,2024,11
92,225,99,3,340.0,2024-10-01,1020.0,2024,10
93,319,55,1,19.4,2024-07-23,19.4,2024,7
94,79,9,5,62.39,2024-07-22,311.95,2024,7
95,344,27,4,208.22,2024-08-30,832.88,2024,8
96,210,64,2,36.04,2024-02-20,72.08,2024,2
97,253,92,2,471.18,2024-12-03,942.36,2024,12
98,496,84,5,12.35,2024-06-07,61.75,2024,6
99,441,100,3,264.37,2024-01-19,793.11,2024,1
100,129,38,5,295.97,2024-03-12,1479.85,2024,3
```
