```csv
customer_id,full_name,email,country,registered_at
305,Johanne Tröst,zrogner@example.com,IT,August 09 2025
273,Dogan Winkler-Rörricht,lara21@example.org,AT,1628121600
167,Hans-Rainer Bähr,weinholdmareile@example.com,PL,02.01.2023
263,Alessandro Putz,mattiasroehricht@example.org,BE,31.12.2021
261,  Sigfried Römer-Butte  ,romy33@example.com,NL,15.11.2025
356,Leonardo Boucsein,afroehlich@example.org,UNKNOWN,21.12.2025
194,Ralph Jessel,muelichenalina@example.net,AT,1615420800
269,  Liliana Speer  ,yschaaf@example.com,IT,1690848000
262,Ing. Rose-Marie Holt B.A.,owende@example.net,BE,08.05.2022
284,Marcella Schottin,zenta21@example.com,NL,24.03.2025
17,Hans-Josef Schacht,hentschelgereon@example.org,UNKNOWN,1578960000
100,Prof. Gerlinde Jessel B.Sc.,paul-heinzschleich@example.net,DE,January 04 2024
48,Hans-Wolfgang Stahr MBA.,johannvito@example.net,PL,December 19 2023
44,Christa-Maria Franke,ptlustek@example.com,PL,1674000000
29,Prof. Alexandra Salz,lindnersuse@example.net,PL,2024-12-11
413,Dolores Etzold,xloos@example.org,BE,2025-10-03
411,Sibylla Eberhardt,irmtraud98@example.net,GB,23.02.2020
52,Juliana Rosemann,volkertrub@example.org,ES,August 14 2020
285,Sami Bolnbach,carinhenk@example.org,AT,June 11 2022
259,  Ilka Dietz  ,guteilona@example.com,BE,29.08.2021
248,Karolina Neureuther,ometz@example.net,ES,2024-05-11
447,Miroslawa Dippel-Rudolph,horst-dieterholzapfel@example.org,CH,September 30 2020
96,Henryk Huhn,schusterhiltrud@example.net,FR,2022-04-25
320,Mato Ebert,alexwinkler@example.net,AT,1698796800
114,Marian Roht,stiebitzgrete@example.org,ES,1695168000
208,Franz-Xaver Schenk,paolajunitz@example.com,NL,November 11 2021
21,Janina Pieper-Junken,patriziakarge@example.com,UNKNOWN,24.03.2022
179,Prof. Tino Hermighausen B.Eng.,giorgio09@example.com,IT,May 09 2024
107,Karolin Ladeck-Heinz,camillabolander@example.com,IT,30.08.2025
329,Adele Neureuther,jelena48@example.org,NL,28.08.2021
255,Karl-Ernst Seifert,guntram62@example.net,AT,January 15 2025
337,Dipl.-Ing. Vinko Tschentscher B.Eng.,elsbethlehmann@example.org,ES,1621036800
168,Ing. Heiner Heidrich B.Sc.,gunarehlert@example.net,ES,June 16 2021
309,Philippe Bauer,nschomber@example.com,NL,1631836800
210,Hermann Josef Berger,umies@example.net,AT,2025-11-19
118,Ilka Schulz,keudelgudula@example.net,DE,06.06.2020
221,Leon Weimer,erna65@example.net,DE,1737590400
136,Marie Atzler,cscheel@example.org,CH,2023-11-13
298,Siegmar Hövel MBA.,flantzadelinde@example.org,DE,1644883200
64,Herr Till Hellwig,wgrein-groth@example.net,ES,1678147200
231,Evi Rosemann,anna-marie98@example.com,NL,05.09.2023
31,Marliese Köhler,ali61@example.org,PL,1659916800
459,  Samuel Stadelmann  ,wiektony@example.com,FR,27.08.2023
145,Herr Hansjörg Wilms,xwarmer@example.net,DE,1626048000
21,Janina Pieper-Junken,patriziakarge@example.com,UNKNOWN,24.03.2022
288,Conny Rosemann,fkarz@example.com,AT,08.08.2022
197,Ilhan Becker-Flantz,egrein-groth@example.com,GB,1718150400
67,Natalie Kuhl,annika91@example.com,ES,2022-08-16
180,André Zänker,jgude@example.com,DE,2022-06-27
444,Giovanni Schäfer-Klemm,ygotthard@example.com,NL,December 28 2023
236,Ing. Heidelore Tintzmann,marielestadelmann@example.com,DE,21.04.2024
339,Nina Oderwald-Holt,robertvogt@example.com,CH,17.11.2021
499,Edeltraut Junk,baererhans-karl@example.net,AT,2023-06-18
454,Marcel Graf,hoefigriza@example.com,DE,September 27 2020
480,Hans-Rudolf Junck,mdavids@example.org,CH,14.08.2022
181,Horst Käster,timmbiggen@example.org,CH,15.02.2023
520,Nermin X. Linke, katharinestey@example.org ,AT,14.11.2025
331,Rebekka Reichmann,kabusandres@example.com,AT,1659657600
344,Herr Alf Harloff,ymans@example.org,PL,12.11.2022
425,Siegward Patberg,christina66@example.com,AT,19.04.2025
85,Luis Kramer B.Eng.,htrupp@example.net,GB,1759104000
243,Dipl.-Ing. Hermann-Josef Hellwig MBA.,hartwig76@example.org,ES,1648944000
442,Dipl.-Ing. Hans-Dieter Stroh,hamannanne@example.com,CH,2024-12-04
275,Jann Wagenknecht,meinolfbender@example.net,BE,2022-06-04
28,Insa Jessel MBA.,hedywesack@example.org,NL,1694217600
123,Lia Siering,bernfriedputz@example.net,DE,27.06.2024
203,Tom Trüb,annaliese84@example.org,PL,2021-07-19
441,Ing. Mirjana Kraus MBA.,fgumprich@example.net,DE,2020-10-06
289,Arndt Briemer B.Eng.,arogge@example.net,AT,February 06 2021
397,Ilias Klapp-Hande,alberto98@example.net,NL,December 23 2022
