```csv
customer_id,full_name,email,country,registered_at
305,Johanne Tröst,zrogner@example.com,Italien,2025-08-09
273,Dogan Winkler-Rörricht,lara21@example.org,Österreich,2021-08-05
167,Hans-Rainer Bähr,weinholdmareile@example.com,Polen,2023-01-02
263,Alessandro Putz,mattiasroehricht@example.org,BE,2021-12-31
261,Sigfried Römer-Butte,romy33@example.com,Netherlands,2025-11-15
356,Leonardo Boucsein,afroehlich@example.org,,2025-12-21
194,Ralph Jessel,muelichenalina@example.net,Austria,2021-03-11
269,Liliana Speer,yschaaf@example.com,ITA,2023-08-01
262,Ing. Rose-Marie Holt B.A.,owende@example.net,BE,2022-05-08
284,Marcella Schottin,zenta21@example.com,Holland,2025-03-24
17,Hans-Josef Schacht,hentschelgereon@example.org,,2020-01-14
100,Prof. Gerlinde Jessel B.Sc.,paul-heinzschleich@example.net,GER,2024-01-04
48,Hans-Wolfgang Stahr MBA.,johannvito@example.net,PL,2023-12-19
44,Christa-Maria Franke,ptlustek@example.com,Polen,2023-01-18
29,Prof. Alexandra Salz,lindnersuse@example.net,Polen,2024-12-11
413,Dolores Etzold,xloos@example.org,Belgien,2025-10-03
411,Sibylla Eberhardt,irmtraud98@example.net,England,2020-02-23
52,Juliana Rosemann,volkertrub@example.org,ES,2020-08-14
285,Sami Bolnbach,carinhenk@example.org,Österreich,2022-06-11
259,Ilka Dietz,guteilona@example.com,Belgium,2021-08-29
248,Karolina Neureuther,ometz@example.net,Spanien,2024-05-11
447,Miroslawa Dippel-Rudolph,horst-dieterholzapfel@example.org,Schweiz,2020-09-30
96,Henryk Huhn,schusterhiltrud@example.net,FRA,2022-04-25
320,Mato Ebert,alexwinkler@example.net,Österreich,2023-11-01
114,Marian Roht,stiebitzgrete@example.org,ESP,2023-09-20
208,Franz-Xaver Schenk,paolajunitz@example.com,Netherlands,2021-11-11
21,Janina Pieper-Junken,patriziakarge@example.com,,2022-03-24
179,Prof. Tino Hermighausen B.Eng.,giorgio09@example.com,ITA,2024-05-09
107,Karolin Ladeck-Heinz,camillabolander@example.com,ITA,2025-08-30
329,Adele Neureuther,jelena48@example.org,NL,2021-08-28
255,Karl-Ernst Seifert,guntram62@example.net,OEsterreich,2025-01-15
337,Dipl.-Ing. Vinko Tschentscher B.Eng.,elsbethlehmann@example.org,Spain,2021-05-15
168,Ing. Heiner Heidrich B.Sc.,gunarehlert@example.net,ESP,2021-06-16
309,Philippe Bauer,nschomber@example.com,Netherlands,2021-09-17
210,Hermann Josef Berger,umies@example.net,OEsterreich,2025-11-19
118,Ilka Schulz,keudelgudula@example.net,deutschland,2020-06-06
221,Leon Weimer,erna65@example.net,Deutschland,2025-01-23
136,Marie Atzler,cscheel@example.org,Switzerland,2023-11-13
298,Siegmar Hövel MBA.,flantzadelinde@example.org,Deutshcland,2022-02-15
