```csv
customer_id,full_name,email,country,registered_at
305,Johanne Tröst,zrogner@example.com,Italien,August 09 2025
273,Dogan Winkler-Rörricht,lara21@example.org,Österreich,1628121600
167,Hans-Rainer Bähr,weinholdmareile@example.com,Polen,02.01.2023
263,Alessandro Putz,mattiasroehricht@example.org,BE,31.12.2021
261,Sigfried Römer-Butte,romy33@example.com,Netherlands,15.11.2025
356,Leonardo Boucsein,afroehlich@example.org,,21.12.2025
194,Ralph Jessel,muelichenalina@example.net,Austria,1615420800
269,Liliana Speer,yschaaf@example.com,ITA,1690848000
262,Ing. Rose-Marie Holt B.A.,owende@example.net,BE,08.05.2022
284,Marcella Schottin,zenta21@example.com,Holland,24.03.2025
17,Hans-Josef Schacht,hentschelgereon@example.org,,1578960000
100,Prof. Gerlinde Jessel B.Sc.,paul-heinzschleich@example.net,GER,January 04 2024
48,Hans-Wolfgang Stahr MBA.,johannvito@example.net,PL,December 19 2023
44,Christa-Maria Franke,ptlustek@example.com,Polen,1674000000
29,Prof. Alexandra Salz,lindnersuse@example.net,Polen,2024-12-11
413,Dolores Etzold,xloos@example.org,Belgien,2025-10-03
411,Sibylla Eberhardt,irmtraud98@example.net,England,23.02.2020
52,Juliana Rosemann,volkertrub@example.org,ES,August 14 2020
285,Sami Bolnbach,carinhenk@example.org,Österreich,June 11 2022
259,Ilka Dietz,guteilona@example.com,Belgium,29.08.2021
248,Karolina Neureuther,ometz@example.net,Spanien,2024-05-11
447,Miroslawa Dippel-Rudolph,horst-dieterholzapfel@example.org,Schweiz,September 30 2020
96,Henryk Huhn,schusterhiltrud@example.net,FRA,2022-04-25
320,Mato Ebert,alexwinkler@example.net,Österreich,1698796800
114,Marian Roht,stiebitzgrete@example.org,ESP,1695168000
208,Franz-Xaver Schenk,paolajunitz@example.com,Netherlands,November 11 2021
21,Janina Pieper-Junken,patriziakarge@example.com,,24.03.2022
179,Prof. Tino Hermighausen B.Eng.,giorgio09@example.com,ITA,May 09 2024
107,Karolin Ladeck-Heinz,camillabolander@example.com,ITA,30.08.2025
329,Adele Neureuther,jelena48@example.org,NL,28.08.2021
255,Karl-Ernst Seifert,guntram62@example.net,OEsterreich,January 15 2025
337,Dipl.-Ing. Vinko Tschentscher B.Eng.,elsbethlehmann@example.org,Spain,1621036800
168,Ing. Heiner Heidrich B.Sc.,gunarehlert@example.net,ESP,June 16 2021
309,Philippe Bauer,nschomber@example.com,Netherlands,1631836800
210,Hermann Josef Berger,umies@example.net,OEsterreich,2025-11-19
118,Ilka Schulz,keudelgudula@example.net,deutschland,06.06.2020
221,Leon Weimer,erna65@example.net,Deutschland,1737590400
136,Marie Atzler,cscheel@example.org,Switzerland,2023-11-13
298,Siegmar Hövel MBA.,flantzadelinde@example.org,Deutshcland,1644883200
64,Herr Till Hellwig,wgrein-groth@example.net,Spain,1678147200
231,Evi Rosemann,anna-marie98@example.com,NL,05.09.2023
31,Marliese Köhler,ali61@example.org,Poland,1659916800
459,Samuel Stadelmann,wiektony@example.com,FR,27.08.2023
145,Herr Hansjörg Wilms,xwarmer@example.net,deutschland,1626048000
