```csv
customer_id,full_name,email,country,registered_at
427,Jost Haase,otlustek@example.com,Poland,1743292800
496,Walburga Kobelt,wwulff@example.net,BE,1630972800
456,Prof. Ina Dowerg,bernhard84@example.net,Belgien,May 19 2024
489,Margarethe Liebelt-Grein Groth,helfriedconradi@example.net,France,05.11.2023
85,Alexa Gehringer B.A.,kuehnertewa@example.net,Großbritannien,2022-05-06
37,Willy Hethur,rosa49@example.net,Poland,1608508800
52,Timm Haering-Faust,zahnmaik@example.net,PL,1758240000
432,Herr Adam Bolzmann,gnatzkarl-heinrich@example.org,Spanien,01.12.2023
66,Ronny Hermighausen,hethurjenny@example.org,NL,2021-03-08
256,Adelbert Beer,meik09@example.org,Schweiz,02.10.2024
130,Roderich Nerger B.Sc.,rupert30@example.net,United Kingdom,10.07.2024
130,Roderich Nerger B.Sc.,rupert30@example.net,United Kingdom,10.07.2024
442,Janko Segebahn-Budig,zhess@example.com,deutschland,1586822400
448,Ing. Sebastiano Schleich,ypeukert@example.net,IT,1757203200
397,Herr Mattias Kusch,alexandre21@example.org,Italien,2024-12-29
212,Domenico Römer-Bachmann,cweller@example.com,Austria,1635292800
406,Wolf-Dietrich Otto,ernst-otto44@example.org,France,1729555200
204,Gitte Weiß-Gieß,konstantinostroest@example.org,UNKNOWN,16.12.2022
213,Rotraut Vollbrecht-Renner,sevim31@example.org,Italy,October 07 2025
97,Herr Emmerich Kuhl,agathemende@example.com,Frankreich,June 07 2021
513,herlinde stadelmann-gerlach,bertha51@example.com,Netherlands,2025-08-24
362,Hubertus Jockel,leokadia43@example.org,Österreich,12.11.2025
170,Lorenz Jäntsch,istoll@example.org,Austria,August 18 2020
122,Victor Sager,eimerbenedikt@example.net,Netherlands,1709942400
469,Univ.Prof. Tülay Gehringer,phande@example.com,UNKNOWN,September 28 2024
150,Richard Werner B.Eng.,adobes@example.net,Italy,August 04 2025
198,Gerlind Fechner,jens45@example.com,FR,1652745600
359,Dipl.-Ing. Gislinde Klapp,hans-joergzobel@example.org,Netherlands,2021-12-13
512,GOTTHILF SCHOMBER,heinz-ottohornig@example.net,FR,08.09.2020
456,Prof. Ina Dowerg,bernhard84@example.net,Belgien,May 19 2024
428,Dr. Georgios Geißler,fridakuhl@example.com,schweiz,2024-02-28
357,Herr Stanislav Schenk B.Eng.,barkholzsteve@example.net,ESP,1653609600
226,Lena Zimmer,bruderines@example.org,Belgium,April 10 2022
335,Stefano Heinz-Täsche,selma65@example.net,Österreich,May 26 2020
344,Madeleine Benthin-Steckel,hofmannsibilla@example.net,Italy,1706227200
181,Götz Steinberg,peukerth-dieter@example.net,France,1750291200
133,Jurij Dussen van,angelique58@example.net,Belgien,12.11.2024
320,Herr Hans-Ludwig Siering,doerthe93@example.org,OEsterreich,2020-07-23
190,Dr. Hans-H. Sauer,peukertheinz-guenther@example.com,SUI,1641081600
6,Univ.Prof. Emanuel Wesack MBA.,susan06@example.net,Belgium,2025-06-18
482,Frau Rita Schwital MBA.,qharloff@example.org,Italy,25.05.2022
45,Gerhart Gumprich B.A.,danny41@example.com,UNKNOWN,2020-10-08
514,Ing.  Herlinde  Kensy  B.Sc.,vad.im90@example.org,Niederlande,2025-05-28
227,Frau Bianka Holzapfel,horst-guenter31@example.com,Schweiz,February 01 2024
147,Sven Krebs,staudetimo@example.com,deutschland,19.10.2025
483,Folkert Zahn,girschnerellinor@example.com,Niederlande,2023-10-26
245,Gregor Dussen van,eckbauerlidwina@example.net,BE,03.07.2022
358,Dipl.-Ing. Ilonka Börner B.A.,kristinstiebitz@example.org,Belgien,June 01 2025
119,Herta Huhn,nikolaos45@example.net,UNKNOWN,1717372800
238,Frau Uta Döhn MBA.,mikhail16@example.org,England,December 19 2025
117,Karolin Römer B.Sc.,josephine23@example.com,Spain,2023-04-24
264,Willy Zimmer,tatianahoerle@example.net,ES,22.02.2022
439,Claas Hörle,kseidel@example.net,Frankreich,28.12.2023
127,Stanislaus Briemer,francoisegerlach@example.net,deutschland,2023-09-04
19,Ing. Jose Geisler,friederike47@example.net,Italy,27.09.2022
466,Ing. Paula Holzapfel B.Sc.,scheibeanni@example.org,Spain,2021-06-15
408,Dipl.-Ing. Hans-Gerd Kuhl,estiebitz@example.net,Germany,24.08.2025
