```csv
customer_id,full_name,email,country,registered_at
427,Jost Haase,otlustek@example.com,PL,2025-03-30
496,Walburga Kobelt,wwulff@example.net,BE,2021-09-07
456,Prof. Ina Dowerg,bernhard84@example.net,BE,2024-05-19
489,Margarethe Liebelt-Grein Groth,helfriedconradi@example.net,FR,2023-11-05
85,Alexa Gehringer B.A.,kuehnertewa@example.net,GB,2022-05-06
37,Willy Hethur,rosa49@example.net,PL,2020-12-21
52,Timm Haering-Faust,zahnmaik@example.net,PL,2025-09-19
432,Herr Adam Bolzmann,gnatzkarl-heinrich@example.org,ES,2023-12-01
66,Ronny Hermighausen,hethurjenny@example.org,NL,2021-03-08
256,Adelbert Beer,meik09@example.org,CH,2024-10-02
130,Roderich Nerger B.Sc.,rupert30@example.net,GB,2024-07-10
442,Janko Segebahn-Budig,zhess@example.com,DE,2020-04-14
448,Ing. Sebastiano Schleich,ypeukert@example.net,IT,2025-09-07
397,Herr Mattias Kusch,alexandre21@example.org,IT,2024-12-29
212,Domenico Römer-Bachmann,cweller@example.com,AT,2021-10-27
406,Wolf-Dietrich Otto,ernst-otto44@example.org,FR,2024-10-22
204,Gitte Weiß-Gieß,konstantinostroest@example.org,UNKNOWN,2022-12-16
213,Rotraut Vollbrecht-Renner,sevim31@example.org,IT,2025-10-07
97,Herr Emmerich Kuhl,agathemende@example.com,FR,2021-06-07
513,herlinde stadelmann-gerlach,bertha51@example.com,NL,2025-08-24
362,Hubertus Jockel,leokadia43@example.org,AT,2025-11-12
170,Lorenz Jäntsch,istoll@example.org,AT,2020-08-18
122,Victor Sager,eimerbenedikt@example.net,NL,2024-03-09
469,Univ.Prof. Tülay Gehringer,phande@example.com,UNKNOWN,2024-09-28
150,Richard Werner B.Eng.,adobes@example.net,IT,2025-08-04
198,Gerlind Fechner,jens45@example.com,FR,2022-05-17
359,Dipl.-Ing. Gislinde Klapp,hans-joergzobel@example.org,NL,2021-12-13
512,GOTTHILF SCHOMBER,heinz-ottohornig@example.net,FR,2020-09-08
428,Dr. Georgios Geißler,fridakuhl@example.com,CH,2024-02-28
357,Herr Stanislav Schenk B.Eng.,barkholzsteve@example.net,ES,2022-05-27
226,Lena Zimmer,bruderines@example.org,BE,2022-04-10
335,Stefano Heinz-Täsche,selma65@example.net,AT,2020-05-26
344,Madeleine Benthin-Steckel,hofmannsibilla@example.net,IT,2024-01-26
181,Götz Steinberg,peukerth-dieter@example.net,FR,2025-06-19
133,Jurij Dussen van,angelique58@example.net,BE,2024-11-12
320,Herr Hans-Ludwig Siering,doerthe93@example.org,AT,2020-07-23
190,Dr. Hans-H. Sauer,peukertheinz-guenther@example.com,CH,2022-01-02
6,Univ.Prof. Emanuel Wesack MBA.,susan06@example.net,BE,2025-06-18
482,Frau Rita Schwital MBA.,qharloff@example.org,IT,2022-05-25
45,Gerhart Gumprich B.A.,danny41@example.com,UNKNOWN,2020-10-08
227,Frau Bianka Holzapfel,horst-guenter31@example.com,CH,2024-02-01
147,Sven Krebs,staudetimo@example.com,DE,2025-10-19
483,Folkert Zahn,girschnerellinor@example.com,NL,2023-10-26
245,Gregor Dussen van,eckbauerlidwina@example.net,BE,2022-07-03
358,Dipl.-Ing. Ilonka Börner B.A.,kristinstiebitz@example.org,BE,2025-06-01
119,Herta Huhn,nikolaos45@example.net,UNKNOWN,2024-06-03
238,Frau Uta Döhn MBA.,mikhail16@example.org,GB,2025-12-19
117,Karolin Römer B.Sc.,josephine23@example.com,ES,2023-04-24
264,Willy Zimmer,tatianahoerle@example.net,ES,2022-02-22
439,Claas Hörle,kseidel@example.net,FR,2023-12-28
127,Stanislaus Briemer,francoisegerlach@example.net,DE,2023-09-04
19,Ing. Jose Geisler,friederike47@example.net,IT,2022-09-27
466,Ing. Paula Holzapfel B.Sc.,scheibeanni@example.org,ES,2021-06-15
408,Dipl.-Ing. Hans-Gerd Kuhl,estiebitz@example.net,DE,2025-08-24
267,Theresia Gieß,henckclaudius@example.com,PL,2022-05-10
258,Dr. Hans-Michael Bonbach,wibkeroehricht@example.net,NL,2023-11-07
268,Tülay Käster,sabri75@example.com,FR,2022-09-08
26,Prof. Elisa Ehlert,roerrichtpriska@example.org,DE,2025-01-08
421,Dr. Birger Kraus B.Sc.,cetindehmel@example.com,BE,2024-09-02
423,Hans Georg Scheibe MBA.,kambsroswitha@example.com,AT,2023-04-02
281,Darius Neureuther,hans-eberhard05@example.org,IT,2025-03-09
48,Evangelos Hartmann,henkrolf-peter@example.org,CH,2022-04-12
322,Dr. Beate Reinhardt,katerinakarge@example.org,IT,2023-03-12
429,Melanie Zahn,reichmannconstantin@example.org,CH,2023-02-17
101,Catharina Werner-Seidel,lonibecker@example.org,GB,2023-04-18
384,Tülay Keudel,kenan00@example.org,AT,2025-05-01
282,Univ.Prof. Nico Hahn B.Sc.,pseifert@example.org,ES,2025-02-12
332,Wilfriede Rogner,hans-michaelbolzmann@example.org,GB,2022-01-09
450,Hendrik Christoph,spiessbela@example.net,PL,2022-05-23
126,Michelle Döring,johnboerner@example.net,ES,2024-11-09
488,Dipl.-Ing. Mirco Bähr B.Sc.,nwieloch@example.org,UNKNOWN,2020-06-14
307,Dipl.-Ing. Silvio Juncken MBA.,ricarda16@example.org,GB,2023-12-25
275,Dittmar Kohl,hillerreinhild@example.net,PL,2021-10-14
409,Karl-Otto Niemeier,steckelantonius@example.org,FR,2020-02-28
31,Hubertine Hamann,gundula16@example.net,UNKNOWN,2022-12-04
167,Kunibert Pechel,gertzilias@example.org,ES,2023-09-12
35,Hansjürgen Briemer,jzirme@example.org,UNKNOWN,2022-11-25
22,Herr Hans-Ulrich Fiebig B.Sc.,tilmanntlustek@example.net,AT,2025-10-08
215,Sigmund Pechel MBA.,hans-rainer35@example.net,CH,2024-12-25
229,Gerti Hübel,arifmargraf@example.com,PL,2020-04-25
153,Prof. Magarete Scheuermann,reichmannmarta@example.net,AT,2024-05-01
236,Prof. Gundi Junk MBA.,gudediana@example.org,GB,2021-08-05
342,Muharrem Söding,adlerangelique@example.com,NL,2021-12-29
222,Nevenka Rohleder,schweitzerpavel@example.net,DE,2020-08-18
