```csv
order_id,customer_id,product_id,quantity,unit_price_eur,ordered_at,total_eur,order_year,order_month
1,42,62,5,117.57,2024-06-23,587.85,2024,6
2,398,79,2,478.88,2024-01-29,957.76,2024,1
3,100,24,4,293.44,2024-05-22,1173.76,2024,5
4,238,91,2,127.8,2024-07-21,255.6,2024,7
5,362,4,4,394.82,2024-11-18,1579.28,2024,11
6,149,82,3,118.8,2024-01-29,356.4,2024,1
7,443,99,1,340.0,2024-12-02,340.0,2024,12
8,229,75,1,440.14,2024-12-15,440.14,2024,12
9,6,73,5,113.34,2024-01-09,566.7,2024,1
10,265,19,5,471.99,2024-05-26,2359.95,2024,5
11,86,53,5,305.19,2024-11-26,1525.95,2024,11
12,211,70,2,381.08,2024-10-30,762.16,2024,10
13,82,81,3,262.83,2024-05-28,788.49,2024,5
14,64,50,3,231.9,2024-05-20,695.7,2024,5
15,427,2,1,498.06,2024-03-02,498.06,2024,3
16,116,31,1,156.82,2024-01-22,156.82,2024,1
17,373,14,1,35.02,2024-02-19,35.02,2024,2
18,76,33,3,428.83,2024-07-31,1286.49,2024,7
19,432,15,4,321.07,2024-01-26,1284.28,2024,1
20,421,79,2,478.88,2024-11-15,957.76,2024,11
21,294,21,4,386.29,2024-10-01,1545.16,2024,10
22,406,51,5,231.79,2024-09-19,1158.95,2024,9
23,167,86,5,471.18,2024-03-28,2355.9,2024,3
24,153,2,1,498.06,2024-10-21,498.06,2024,10
25,1,58,1,435.54,2024-02-14,435.54,2024,2
26,281,95,3,403.57,2024-05-23,1210.71,2024,5
27,485,76,3,22.04,2024-11-14,66.12,2024,11
28,341,40,2,486.29,2024-11-24,972.58,2024,11
29,229,47,1,258.2,2024-12-29,258.2,2024,12
30,80,56,3,25.98,2024-12-10,77.94,2024,12
31,130,15,2,321.07,2024-07-10,642.14,2024,7
32,73,43,5,41.64,2024-11-13,208.2,2024,11
33,4,29,2,307.34,2024-11-10,614.68,2024,11
34,176,53,4,305.19,2024-12-08,1220.76,2024,12
35,410,12,3,419.41,2024-09-21,1258.23,2024,9
36,488,67,2,143.46,2024-12-07,286.92,2024,12
37,140,21,3,386.29,2024-04-20,1158.87,2024,4
38,178,91,3,127.8,2024-06-16,383.4,2024,6
39,462,33,5,428.83,2024-09-03,2144.15,2024,9
40,176,69,1,268.97,2024-01-09,268.97,2024,1
41,294,51,3,231.79,2024-06-22,695.37,2024,6
