Looking through the data, I need to identify fuzzy duplicates - same person with name/email variations.

Found duplicates:
- 393/507: Pedro Schwital (mirjana79 vs mirj.ana79@example.net) - same person, keep 393
- 506/364: Gereon Lorch (B.En.g vs B.Eng., IVONNESAEUBERLICH case diff) - same person, keep 364
- 60/516: Hans-Michael Schenk (with/without middle initial X., JAENTSCHARTUR case diff) - same person, keep 60

```csv
customer_id,full_name,email,country,registered_at
356,Leonardo Boucsein,afroehlich@example.org,UNKNOWN,2025-12-21
350,Heinz Hörle,swetlana40@example.net,PL,2025-12-05
16,Elise Eckbauer,jeanettegorlitz@example.net,UNKNOWN,2025-11-18
438,Karola Gotthard,gero40@example.org,NL,2025-11-18
520,Nermin X. Linke,katharinestey@example.org,AT,2025-11-14
393,Dipl.-Ing. Pedro Schwital B.Sc.,mirjana79@example.net,NL,2025-11-13
12,Pero Döring B.Sc.,heydrichdanuta@example.org,GB,2025-10-21
351,Emilia Wohlgemut,nbinner@example.net,IT,2025-10-17
85,Luis Kramer B.Eng.,htrupp@example.net,GB,2025-09-29
164,Axel Pieper,hans-uwespeer@example.net,GB,2025-09-27
336,Kristina Klemm,carstenwilhelm@example.net,FR,2025-09-21
384,Dorothee Karz,mzimmer@example.net,NL,2025-09-21
290,Greta Hoffmann,apieper@example.org,GB,2025-09-17
267,Jacob Mohaupt,ctextor@example.net,AT,2025-08-21
440,Dipl.-Ing. Ingelore Hiller,cosimodrewes@example.com,CH,2025-08-20
161,Dr. Henny Seip,kaesterstavros@example.com,BE,2025-07-22
75,Pia Heydrich B.A.,annegret91@example.com,GB,2025-07-06
435,Rene Löwer,andrzejhertrampf@example.com,GB,2025-06-10
483,Veronika Rudolph B.Sc.,rudolph50@example.com,IT,2025-06-05
270,Utz Radisch-Schönland,hans-hinrichweihmann@example.org,DE,2025-06-02
470,Burkard Stolze,frankeroselinde@example.net,ES,2025-05-19
486,Hannah Scholl,mosemannraymond@example.org,BE,2025-05-01
143,Ricarda Girschner,augusteseip@example.net,ES,2025-04-24
24,Dr. Ole Martin B.Sc.,daniele93@example.net,ES,2025-04-22
218,Wencke Wesack B.Sc.,jesselryszard@example.net,FR,2025-04-21
19,Ingrid Rohleder,hettnerkathi@example.com,BE,2025-04-15
386,Balthasar Mentzel B.Eng.,hans-gerhard71@example.net,ES,2025-04-12
466,Ibrahim Etzler,nicolashande@example.com,AT,2025-04-05
84,Jurij Drub-Hentschel,mohauptheiner@example.org,GB,2025-03-28
284,Marcella Schottin,zenta21@example.com,NL,2025-03-24
455,Bela Förster B.A.,helmutjockel@example.org,UNKNOWN,2025-03-07
1,Bartholomäus Caspar,martine24@example.com,DE,2025-02-25
364,Gereon Lorch B.Eng.,ivonnesaeuberlich@example.com,UNKNOWN,2025-02-05
490,Toralf Hofmann,bernadette37@example.com,IT,2025-01-26
255,Karl-Ernst Seifert,guntram62@example.net,AT,2025-01-15
