```csv
customer_id,full_name,email,country,registered_at
167,Hans-Rainer Bähr,weinholdmareile@example.com,PL,2023-01-02
356,Leonardo Boucsein,afroehlich@example.org,UNKNOWN,2025-12-21
194,Ralph Jessel,muelichenalina@example.net,AT,2021-03-11
269,Liliana Speer,yschaaf@example.com,IT,2023-08-01
284,Marcella Schottin,zenta21@example.com,NL,2025-03-24
17,Hans-Josef Schacht,hentschelgereon@example.org,UNKNOWN,2020-01-14
48,Hans-Wolfgang Stahr MBA.,johannvito@example.net,PL,2023-12-19
44,Christa-Maria Franke,ptlustek@example.com,PL,2023-01-17
411,Sibylla Eberhardt,irmtraud98@example.net,GB,2020-02-23
259,Ilka Dietz,guteilona@example.com,BE,2021-08-29
248,Karolina Neureuther,ometz@example.net,ES,2024-05-11
447,Miroslawa Dippel-Rudolph,horst-dieterholzapfel@example.org,CH,2020-09-30
320,Mato Ebert,alexwinkler@example.net,AT,2023-11-01
208,Franz-Xaver Schenk,paolajunitz@example.com,NL,2021-11-11
21,Janina Pieper-Junken,patriziakarge@example.com,UNKNOWN,2022-03-24
179,Prof. Tino Hermighausen B.Eng.,giorgio09@example.com,IT,2024-05-09
255,Karl-Ernst Seifert,guntram62@example.net,AT,2025-01-15
168,Ing. Heiner Heidrich B.Sc.,gunarehlert@example.net,ES,2021-06-16
118,Ilka Schulz,keudelgudula@example.net,DE,2020-06-06
136,Marie Atzler,cscheel@example.org,CH,2023-11-13
298,Siegmar Hövel MBA.,flantzadelinde@example.org,DE,2022-02-14
64,Herr Till Hellwig,wgrein-groth@example.net,ES,2023-03-07
231,Evi Rosemann,anna-marie98@example.com,NL,2023-09-05
31,Marliese Köhler,ali61@example.org,PL,2022-08-08
288,Conny Rosemann,fkarz@example.com,AT,2022-08-08
454,Marcel Graf,hoefigriza@example.com,DE,2020-09-27
181,Horst Käster,timmbiggen@example.org,CH,2023-02-15
520,Nermin X. Linke,katharinestey@example.org,AT,2025-11-14
331,Rebekka Reichmann,kabusandres@example.com,AT,2022-08-05
85,Luis Kramer B.Eng.,htrupp@example.net,GB,2025-09-29
243,Dipl.-Ing. Hermann-Josef Hellwig MBA.,hartwig76@example.org,ES,2022-04-03
28,Insa Jessel MBA.,hedywesack@example.org,NL,2023-09-08
441,Ing. Mirjana Kraus MBA.,fgumprich@example.net,DE,2020-10-06
266,Liliane Köhler-Beier,ynohlmans@example.net,GB,2020-10-09
469,Univ.Prof. German Losekann B.Sc.,krokereric@example.net,IT,2024-04-26
368,Sahin Kühnert B.Sc.,arminnohlmans@example.net,DE,2021-07-21
406,Univ.Prof. Ayse Hecker MBA.,arnold54@example.net,FR,2023-12-18
296,Eckhard Atzler-Eckbauer,ftschentscher@example.org,GB,2022-01-31
16,Elise Eckbauer,jeanettegorlitz@example.net,UNKNOWN,2025-11-17
91,Mariusz Etzler,weimerjonas@example.net,ES,2024-01-16
216,Herr Hartwig Hövel,adamschueler@example.org,DE,2022-04-07
432,Hans-Christian Ring,hellwigtheobald@example.com,BE,2020-09-01
187,Curt Baum,jens10@example.net,PL,2024-12-25
374,Dr. Gunnar Krein B.A.,gretlfroehlich@example.net,BE,2022-08-04
440,Dipl.-Ing. Ingelore Hiller,cosimodrewes@example.com,CH,2025-08-20
92,Paul Wirth,martinefechner@example.net,GB,2022-08-28
133,Inna Schmiedt-Wilms,sigrid85@example.org,GB,2021-04-01
268,Dr. Paulo Killer,rjunitz@example.net,DE,2022-09-23
128,Ing. Pauline Hartmann,karolina06@example.net,CH,2020-03-27
503,Herr  Alban  Kusch,janeroskoth@example.net,ES,2023-04-13
80,Ferdi Döring,heinz-werner20@example.org,PL,2023-08-20
214,Nikolas Segebahn-Beyer,haeringarne@example.net,AT,2022-02-28
465,Rosl Mohaupt,casparelisa@example.org,IT,2022-01-30
446,Mirko Sölzer,harri00@example.net,IT,2022-07-22
102,Richard Baum,luisbohlander@example.com,GB,2024-07-15
110,Andrey Kraushaar,okuehnert@example.net,DE,2022-04-27
212,Nermin Linke,katharinestey@example.org,AT,2025-11-14
362,Corinna Zorbach,gertzjanna@example.com,DE,2024-09-29
119,Muharrem Reuter,alorch@example.org,AT,2021-07-19
490,Toralf Hofmann,bernadette37@example.com,IT,2025-01-26
7,Dipl.-Ing. Oliver Warmer,hsoelzer@example.org,IT,2024-03-02
271,Berndt Bien B.Sc.,zbruder@example.net,ES,2023-12-04
65,Ing. Christoph Ernst,julianrogner@example.net,BE,2023-03-20
358,Ria Stadelmann,mwende@example.org,GB,2022-04-30
159,Salih Conradi,nikolajtrub@example.org,AT,2022-07-23
84,Jurij Drub-Hentschel,mohauptheiner@example.org,GB,2025-03-28
122,Dr. Karl Heinz Grein Groth B.Sc.,suessebierruben@example.org,DE,2024-04-03
426,Kreszentia Karge,olivia76@example.com,GB,2023-11-15
258,Henry Hahn,hellmut14@example.org,UNKNOWN,2020-10-23
315,Ricarda Aumann,juettnerandrej@example.com,BE,2022-07-04
8,Ursel Ortmann,gesine77@example.com,GB,2024-10-29
283,Giuseppe Biggen,lidija03@example.net,ES,2021-04-13
323,Erica Atzler-Vollbrecht,rotraudaustermuehle@example.com,AT,2024-09-07
157,Mandy Fischer,ringkatarzyna@example.org,AT,2021-03-01
78,Dipl.-Ing. Karolina Mentzel,doerrtony@example.net,IT,2021-02-02
24,Dr. Ole Martin B.Sc.,daniele93@example.net,ES,2025-04-22
436,Alma Tlustek,halildrubin@example.com,ES,2021-01-01
405,Sepp Neuschäfer,waltherruppersberger@example.com,GB,2023-04-30
392,Ditmar Zimmer,scholzerkan@example.net,DE,2023-09-23
462,Adelgunde Hövel,jhenck@example.org,CH,2021-08-25
4,Theres Kramer,kputz@example.net,ES,2021-07-05
402,Ing. Jann Weinhold,evaeberth@example.org,UNKNOWN,2021-06-06
177,Pierre Pieper-Davids,hannah23@example.net,UNKNOWN,2020-05-12
382,Univ.Prof. Donald Zänker B.Eng.,hmueller@example.net,FR,2024-03-15
276,Dr. Karl Hellwig B.A.,ibinner@example.net,FR,2023-06-11
359,Andre Juncken B.Eng.,othmarbinner@example.com,UNKNOWN,2022-06-03
267,Jacob Mohaupt,ctextor@example.net,AT,2025-08-21
49,Herr Alban Kusch,janeroskoth@example.net,ES,2023-04-13
12,Pero Döring B.Sc.,heydrichdanuta@example.org,GB,2025-10-21
322,Reinhold Tlustek,senol87@example.net,GB,2024-10-14
86,Prof. Bernfried Flantz,hakankostolzin@example.org,NL,2022-07-12
191,Mariusz Hendriks B.Eng.,helga13@example.net,BE,2021-02-13
101,Prof. Mato Sorgatz B.A.,olga38@example.com,IT,2020-10-31
515,Elly Röhricht .BSc.,theres26@example.com,IT,2024-01-09
19,Ingrid Rohleder,hettnerkathi@example.com,BE,2025-04-15
171,Rosmarie Johann-Förster,juergenhethur@example.com,IT,2024-11-04
451,Ilias Koch II-Schuster,antoinette41@example.net,UNKNOWN,2021-05-14
437,Ahmed Mangold,edward51@example.com,CH,2023-11-24
112,Nadeshda Tintzmann B.A.,andree07@example.org,DE,2021-02-05
35,Milica Mitschke-Etzold,rigo14@example.org,UNKNOWN,2021-01-17
424,Günter Tschentscher,klaeresuessebier@example.org,PL,2023-07-12
127,Marco Lehmann-Roskoth,thoralf77@example.org,CH,2023-08-07
504,Asta X. Junk,cortmann@example.com,FR,2020-08-16
475,Inka Bohlander-Davids,eklemt@example.org,PL,2024-10-19
103,Reingard Ullrich,marie-louise71@example.com,FR,2024-01-02
300,Halina Mans,kensyelisabeth@example.net,IT,2022-12-13
348,Patrizia Sauer B.A.,rezahoefig@example.org,PL,2021-09-29
60,Hans-Michael Schenk B.A.,jaentschartur@example.org,UNKNOWN,2023-11-22
120,Prof. Anatoli Bachmann,gunda24@example.org,AT,2020-05-04
474,Cengiz Boucsein,christa-mariahesse@example.net,AT,2022-10-05
486,Hannah Scholl,mosemannraymond@example.org,BE,2025-05-01
350,Heinz Hörle,swetlana40@example.net,PL,2025-12-05
105,Mirella Bolzmann-Schulz,pholsten@example.org,PL,2024-03-19
313,Catherine Schäfer-Stiffel,xjunitz@example.org,FR,2023-04-19
38,Prof. Sonia Müller MBA.,sstiffel@example.com,CH,2021-12-20
232,Annett Kroker-Budig,eiteljungfer@example.com,UNKNOWN,2024-02-11
144,Dr. Klaus-Michael Mosemann B.A.,lhethur@example.org,UNKNOWN,2024-05-06
463,Mechtild Sontag,georgine85@example.com,BE,2024-05-01
189,Dr. Thorsten Fröhlich MBA.,ruppertkarl-ernst@example.org,FR,2022-01-14
224,Dipl.-Ing. Lisette Fischer B.Sc.,uboerner@example.org,BE,2024-07-04
400,Frau Sylvia Kaul B.Eng.,gundulaklemm@example.org,NL,2021-03-02
155,Bernhardine Heydrich,koehlerlena@example.org,BE,2024-04-16
409,Timo Hofmann,pheydrich@example.com,CH,2020-10-19
252,Ing. Nick Stoll,cordulasager@example.com,DE,2022-11-20
70,Frau Kerstin Jungfer,marielescheibe@example.com,BE,2024-08-08
466,Ibrahim Etzler,nicolashande@example.com,AT,2025-04-05
161,Dr. Henny Seip,kaesterstavros@example.com,BE,2025-07-22
143,Ricarda Girschner,augusteseip@example.net,ES,2025-04-24
76,Dorothee Bloch-Krein,nniemeier@example.com,UNKNOWN,2024-08-19
489,Alexandros Schwital,ebaerer@example.org,PL,2023-07-25
27,Herr Berend Bärer B.A.,egonharloff@example.org,NL,2024-06-05
146,Ottmar Thies B.A.,aschmiedecke@example.net,IT,2021-02-19
434,Marina Heydrich B.Eng.,freia12@example.org,AT,2021-07-05
336,Kristina Klemm,carstenwilhelm@example.net,FR,2025-09-21
401,Luise Klapp-Schulz,jbeyer@example.com,PL,2020-09-12
366,Lisbeth Winkler,sandy58@example.net,NL,2023-01-27
172,Prof. Wilhelm Jessel B.Eng.,eortmann@example.com,IT,2022-07-04
330,Valentina Meister,tamaragraf@example.net,AT,2023-04-28
40,Arif Klemm,beatrixfinke@example.com,PL,2020-07-26
435,Rene Löwer,andrzejhertrampf@example.com,GB,2025-06-11
